File name,Icon,Name,Type,Subtype,Description,Prerequisite,Cost,Visible,Damage,Defese Bonus,Upgradeable
iw_dblsbr_001.png,,Blue Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_002.png,,Red Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_003.png,,Green Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_004.png,,Yellow Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,TRUE,1d12,1d4,
iw_dblsbr_005.png,,Purple Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_006.png,,Orange Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_007.png,,Cyan Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_008.png,,Viridian Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_009.png,,Silver Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblsbr_010.png,,Black Double-Bladed Lightsaber,Lightsaber,Double-Bladed Lightsaber,,Jedi Training,1,FALSE,1d12,1d4,
iw_dblswrd_001.png,,,Melee Weapon,Double-Bladed Sword,,,,FALSE,,,
iw_dblswrd_002.png,,,Melee Weapon,Double-Bladed Sword,,,,FALSE,,,
iw_dblswrd_003.png,,,Melee Weapon,Double-Bladed Sword,,,,FALSE,,,
iw_dblswrd_004.png,,,Melee Weapon,Double-Bladed Sword,,,,FALSE,,,
iw_dsrptpstl_001.png,,Disruptor Pistol,Blaster,Pistol,,,,FALSE,,,
iw_dsrptpstl_002.png,,,Blaster,Pistol,,,,FALSE,,,
iw_dsrptpstl_003.png,,,Blaster,Pistol,,,,FALSE,,,
iw_dsrptpstl_004.png,,,Blaster,Pistol,,,,FALSE,,,
iw_bowcstr_001.png,,,Blaster,Bowcaster,,,,FALSE,,,
iw_bowcstr_002.png,,,Blaster,Bowcaster,,,,FALSE,,,
iw_bowcstr_003.png,,,Blaster,Bowcaster,,,,FALSE,,,
